name,price,status,shipping,free_returns,items_sold
"New ListingChosun Sitting Teddy Bear Bumblebee Bee On Nose Plush Bow 12"" Stuffed Animal Tan",1600,Pre-Owned,0,False,
New ListingHugFun 17 inch Plush Polar Bear Hood Scarf Mittens Teddy Stuffed Animal Toy,1695,Pre-Owned,0,False,
FAO Schwarz Teddy Bear Plush BowTie  Gift Bear ,1000,Pre-Owned,0,False,
Velvete By Greek 10” Teddy Bear First American Brown Plush Stuffed Animal Toy,535,Pre-Owned,0,True,
Mango Teddy Bear Plush Stuffed Animal Boy Bear Peek a Boo  Checkered Shirt,2000,Pre-Owned,0,True,
Caltoy 15” XOXO Teddy Bear Brown Sitting Plush Stuffed Animal Toy Red Shirt,602,Pre-Owned,0,True,
New ListingNEW Ms Teddy Bear Pair Set Gold and Red Checkered Ribbon Light Brown Checked Toy,1999,Brand New,0,False,
"White Teddy Bear plush with Red Bow and ""I Love You"" words on paw.",1090,Pre-Owned,0,False,
New ListingHugfun Int 'l St. Jude TONY White Winter Polar Teddy Bear Plush Hat Scarf Boots,1995,Pre-Owned,0,True,
"Lot of 5 Squishmallows 5 1/2 """,99,Pre-Owned,0,True,
"New ListingDAVE & BUSTERS Plush Brown Athletic Teddy Bear 15"" Tall NWOT",399,Brand New,0,False,
"A173 Aurora Miyoni Polar Teddy Bear Plush 12"" Stuffed Toy Lovey",2288,Pre-Owned,0,False,
"New Listing~~RUSS ""SABRINA"" TEDDY BEAR WITH PINK BOW NWT 12""  SOFT PLUSH ANIMAL~~",2500,Brand New,0,False,
New ListingChelsea Teddy Bear Co Brown Stuffed Animal Plush 12” US Coast Guard Cape May NJ,989,Pre-Owned,0,False,
New ListingMagic Snowflake Teddy Bear Precious TP Toyshop Christmas Plush Stuffed Animal,1896,Pre-Owned,0,False,
"New ListingSt. Jude Hospital Gentle  Teddy Bear Plaid Scarf hat Plush 18"" christmas holiday",1499,Brand New,0,False,
New ListingSquishmallow Hug Mees T Monogram 14” Christmas Gracie The Panda Bear  2021 New,3500,Brand New,0,False,
"New Listing12"" Applause Santa Bear Plush Stuffed Animal Toy Christmas Bear Brown Teddy Tags",1000,Brand New,0,False,
Applause Bianca Ballerina White Teddy Bear Pink Dress Plush Stuffed Animal 10”,1799,Pre-Owned,0,True,
"New ListingTie Dyed Teddy Bear 14"" Multi Color",1100,Pre-Owned,0,False,
HARRODS HIGHLAND CHRISTMAS PLUSH PLAID BROWN TEDDY BEAR 1994 VINTAGE,13930,Brand New,0,False,
HARRODS HIGHLAND MILLENIUM CHRISTMAS PLUSH PLAID BROWN TEDDY BEAR 2000 VINTAGE,20930,Brand New,0,False,
Beverly Hills Teddy Bear Company Plush With American Flag Sweater,1200,Brand New,0,False,
